site,replicate,trap,year,bare_ground,litter,rock,vegetation
4,3,1,2022,42,5,5,48
4,3,2,2022,20,10,5,65
4,3,3,2022,20,5,5,70
4,3,4,2022,10,15,10,65
4,3,5,2022,47,5,0,48
4,3,6,2022,40,15,0,45
4,3,7,2022,33,30,0,37
4,3,8,2022,49,10,1,40
4,3,9,2022,29,10,1,60
4,3,10,2022,30,10,1,59
4,4,1,2022,40,10,20,30
4,4,2,2022,5,65,5,25
4,4,3,2022,5,10,60,25
4,4,4,2022,15,5,20,60
4,4,5,2022,50,5,20,25
4,4,6,2022,15,10,57,18
4,4,7,2022,10,10,45,35
4,4,8,2022,5,5,40,50
4,4,9,2022,20,10,50,20
4,4,10,2022,15,35,10,40
5,1,1,2022,15,55,15,15
5,1,2,2022,15,20,0,65
5,1,3,2022,5,10,65,20
5,1,4,2022,58,15,2,25
5,1,5,2022,5,10,70,15
5,1,6,2022,5,49,20,26
5,1,7,2022,5,15,20,60
5,1,8,2022,25,15,10,50
5,1,9,2022,15,10,20,55
5,1,10,2022,10,20,15,55
5,2,1,2022,5,10,65,20
5,2,2,2022,5,5,10,80
5,2,3,2022,15,10,40,35
5,2,4,2022,5,20,20,55
5,2,5,2022,5,10,20,65
5,2,6,2022,15,5,10,70
5,2,7,2022,5,10,20,65
5,2,8,2022,5,15,20,60
5,2,9,2022,10,5,55,30
5,2,10,2022,5,5,45,45
5,3,1,2022,20,15,30,35
5,3,2,2022,10,45,30,15
5,3,3,2022,10,5,45,40
5,3,4,2022,15,5,40,40
5,3,5,2022,0,5,55,40
5,3,6,2022,0,5,85,10
5,3,7,2022,0,0,55,45
5,3,8,2022,15,20,30,35
5,3,9,2022,5,20,50,25
5,3,10,2022,10,10,25,55
5,4,1,2022,10,10,40,40
5,4,2,2022,10,25,20,45
5,4,3,2022,5,25,55,15
5,4,4,2022,10,25,25,40
5,4,5,2022,5,60,20,15
5,4,6,2022,15,20,45,20
5,4,7,2022,10,10,30,50
5,4,8,2022,10,20,25,45
5,4,9,2022,15,25,10,50
5,4,10,2022,10,15,25,50
6,1,1,2022,74,5,10,11
6,1,2,2022,50,30,0,20
6,1,3,2022,45,15,0,40
6,1,4,2022,30,20,0,50
6,1,5,2022,25,35,0,40
6,1,6,2022,55,20,0,25
6,1,7,2022,54,20,5,21
6,1,8,2022,55,20,10,15
6,1,9,2022,75,15,0,10
6,1,10,2022,55,25,0,20
6,2,1,2022,20,10,20,50
6,2,2,2022,20,10,35,35
6,2,3,2022,20,10,15,55
6,2,4,2022,40,10,10,40
6,2,5,2022,10,15,35,40
6,2,6,2022,35,5,5,55
6,2,7,2022,30,5,5,60
6,2,8,2022,35,5,10,50
6,2,9,2022,15,15,10,60
6,2,10,2022,15,10,35,40
6,3,1,2022,20,10,35,35
6,3,2,2022,25,15,30,30
6,3,3,2022,44,10,10,36
6,3,4,2022,50,15,0,35
6,3,5,2022,30,15,20,35
6,3,6,2022,40,5,1,54
6,3,7,2022,35,10,5,50
6,3,8,2022,30,5,20,45
6,3,9,2022,15,5,35,45
6,3,10,2022,5,5,30,60
6,4,1,2022,15,5,50,30
6,4,2,2022,20,5,29,46
6,4,3,2022,39,5,10,46
6,4,4,2022,39,10,20,31
6,4,5,2022,15,15,20,50
6,4,6,2022,40,5,10,45
6,4,7,2022,34,5,25,36
6,4,8,2022,50,10,5,35
6,4,9,2022,20,15,45,20
6,4,10,2022,39,10,20,31
7,1,1,2022,20,5,20,55
7,1,2,2022,40,5,5,50
7,1,3,2022,35,5,10,50
7,1,4,2022,25,10,5,60
7,1,5,2022,30,5,5,60
7,1,6,2022,30,5,5,60
7,1,7,2022,10,10,15,65
7,1,8,2022,30,5,10,55
7,1,9,2022,50,5,10,35
7,1,10,2022,25,10,10,55
7,2,1,2022,20,10,10,60
7,2,2,2022,25,15,10,50
7,2,3,2022,25,10,10,55
7,2,4,2022,40,10,10,40
7,2,5,2022,25,10,5,60
7,2,6,2022,30,5,20,45
7,2,7,2022,30,10,10,50
7,2,8,2022,2,10,3,85
7,2,9,2022,44,15,20,31
7,2,10,2022,35,5,10,50
7,3,1,2022,10,10,20,60
7,3,2,2022,25,5,15,55
7,3,3,2022,45,10,15,30
7,3,4,2022,25,5,10,60
7,3,5,2022,30,10,5,55
7,3,6,2022,20,15,5,60
7,3,7,2022,30,15,5,50
7,3,8,2022,40,10,10,40
7,3,9,2022,35,10,10,45
7,3,10,2022,40,10,15,35
7,4,1,2022,35,5,15,45
7,4,2,2022,65,5,5,25
7,4,3,2022,25,15,5,55
7,4,4,2022,20,10,5,65
7,4,5,2022,40,10,5,45
7,4,6,2022,53,10,2,35
7,4,7,2022,55,10,5,30
7,4,8,2022,20,20,5,55
7,4,9,2022,45,15,5,35
7,4,10,2022,44,20,1,45
8,1,1,2022,50,5,10,35
8,1,2,2022,43,5,2,50
8,1,3,2022,20,10,0,70
8,1,4,2022,10,10,0,80
8,1,5,2022,5,5,0,90
8,1,6,2022,5,5,0,90
8,1,7,2022,5,5,0,90
8,1,8,2022,10,5,0,85
8,1,9,2022,50,5,5,40
8,1,10,2022,45,5,15,35
8,2,1,2022,40,5,10,45
8,2,2,2022,45,10,5,40
8,2,3,2022,70,5,5,20
8,2,4,2022,45,5,5,45
8,2,5,2022,30,5,5,60
8,2,6,2022,35,5,5,55
8,2,7,2022,45,5,5,45
8,2,8,2022,30,5,5,60
8,2,9,2022,20,15,5,60
8,2,10,2022,55,5,5,35
8,3,1,2022,25,5,25,45
8,3,2,2022,65,5,20,30
8,3,3,2022,15,5,25,55
8,3,4,2022,15,10,10,65
8,3,5,2022,15,15,10,60
8,3,6,2022,20,10,10,60
8,3,7,2022,15,10,10,65
8,3,8,2022,15,5,30,50
8,3,9,2022,15,15,20,50
8,3,10,2022,15,10,15,60
8,4,1,2022,30,5,15,50
8,4,2,2022,20,15,10,55
8,4,3,2022,10,30,43,17
8,4,4,2022,10,15,20,55
8,4,5,2022,20,5,25,50
8,4,6,2022,20,10,20,50
8,4,7,2022,15,5,40,40
8,4,8,2022,15,10,30,45
8,4,9,2022,35,5,10,50
8,4,10,2022,5,5,68,22
9,1,1,2022,10,5,5,80
9,1,2,2022,10,10,10,70
9,1,3,2022,5,10,10,75
9,1,4,2022,5,10,5,80
9,1,5,2022,10,10,5,75
9,1,6,2022,15,5,5,75
9,1,7,2022,10,10,10,70
9,1,8,2022,10,10,5,75
9,1,9,2022,10,10,20,60
9,1,10,2022,10,5,10,75
9,2,1,2022,10,5,35,50
9,2,2,2022,10,5,25,60
9,2,3,2022,15,10,15,60
9,2,4,2022,20,10,20,50
9,2,5,2022,15,10,15,60
9,2,6,2022,10,10,25,55
9,2,7,2022,25,10,15,50
9,2,8,2022,20,15,10,55
9,2,9,2022,15,10,15,60
9,2,10,2022,15,10,20,55
9,3,1,2022,10,15,25,50
9,3,2,2022,15,10,5,70
9,3,3,2022,10,15,2,73
9,3,4,2022,15,5,10,70
9,3,5,2022,15,5,15,65
9,3,6,2022,15,10,15,60
9,3,7,2022,15,5,10,70
9,3,8,2022,30,10,15,45
9,3,9,2022,20,10,10,60
9,3,10,2022,20,15,5,60
9,4,1,2022,10,10,25,55
9,4,2,2022,15,10,20,55
9,4,3,2022,15,10,25,50
9,4,4,2022,20,10,20,50
9,4,5,2022,20,15,15,50
9,4,6,2022,20,15,20,45
9,4,7,2022,10,15,15,60
9,4,8,2022,20,10,20,50
9,4,9,2022,20,15,15,50
9,4,10,2022,20,10,10,60
10,1,1,2022,10,5,35,50
10,1,2,2022,5,10,55,30
10,1,3,2022,5,5,45,45
10,1,4,2022,10,5,45,40
10,1,5,2022,5,10,25,60
10,1,6,2022,10,5,30,55
10,1,7,2022,20,10,25,45
10,1,8,2022,5,5,55,35
10,1,9,2022,5,10,30,55
10,1,10,2022,5,10,30,55
10,2,1,2022,5,15,61,19
10,2,2,2022,15,5,45,35
10,2,3,2022,5,10,50,35
10,2,4,2022,5,5,15,75
10,2,5,2022,20,10,35,35
10,2,6,2022,10,5,45,40
10,2,7,2022,10,5,45,40
10,2,8,2022,5,15,25,55
10,2,9,2022,5,5,33,57
10,2,10,2022,5,10,45,40
10,3,1,2022,15,5,35,45
10,3,2,2022,2,3,65,30
10,3,3,2022,5,10,35,50
10,3,4,2022,5,10,35,50
10,3,5,2022,10,10,35,45
10,3,6,2022,5,5,45,45
10,3,7,2022,15,5,40,40
10,3,8,2022,5,10,50,35
10,3,9,2022,5,10,55,30
10,3,10,2022,5,15,35,45
10,4,1,2022,5,5,60,30
10,4,2,2022,25,5,35,35
10,4,3,2022,20,10,15,55
10,4,4,2022,5,5,20,70
10,4,5,2022,5,5,20,70
10,4,6,2022,15,5,20,60
10,4,7,2022,10,15,50,25
10,4,8,2022,5,5,45,45
10,4,9,2022,10,5,35,50
10,4,10,2022,5,25,2,68
11,1,1,2022,25,15,0,60
11,1,2,2022,20,25,1,43
11,1,3,2022,10,25,20,45
11,1,4,2022,10,15,10,65
11,1,5,2022,15,20,0,65
11,1,6,2022,25,20,15,40
11,1,7,2022,10,20,20,50
11,1,8,2022,15,20,10,55
11,1,9,2022,20,15,20,45
11,1,10,2022,15,25,25,35
11,2,1,2022,35,20,15,30
11,2,2,2022,30,5,55,10
11,2,3,2022,35,15,10,40
11,2,4,2022,45,5,10,40
11,2,5,2022,30,10,40,20
11,2,6,2022,30,10,35,25
11,2,7,2022,5,10,50,35
11,2,8,2022,10,25,20,45
11,2,9,2022,10,15,45,30
11,2,10,2022,40,20,5,35
11,3,1,2022,20,20,20,40
11,3,2,2022,5,20,35,40
11,3,3,2022,20,30,5,45
11,3,4,2022,5,30,30,35
11,3,5,2022,25,10,30,35
11,3,6,2022,20,40,5,35
11,3,7,2022,35,25,0,40
11,3,8,2022,10,15,20,55
11,3,9,2022,15,35,5,45
11,3,10,2022,5,65,5,25
11,4,1,2022,10,20,0,100
11,4,2,2022,20,20,0,60
11,4,3,2022,20,15,0,65
11,4,4,2022,10,20,0,70
11,4,5,2022,25,20,0,55
11,4,6,2022,5,50,0,45
11,4,7,2022,15,35,0,50
11,4,8,2022,15,20,0,65
11,4,9,2022,25,20,0,55
11,4,10,2022,5,25,0,70
12,1,1,2022,10,10,25,55
12,1,2,2022,15,5,45,35
12,1,3,2022,20,5,45,30
12,1,4,2022,10,5,55,30
12,1,5,2022,15,10,40,35
12,1,6,2022,25,5,35,35
12,1,7,2022,20,5,40,35
12,1,8,2022,15,10,15,60
12,1,9,2022,15,5,30,50
12,1,10,2022,20,10,50,20
12,2,1,2022,10,5,50,35
12,2,2,2022,5,5,40,50
12,2,3,2022,15,15,25,45
12,2,4,2022,5,10,30,55
12,2,5,2022,5,15,50,30
12,2,6,2022,15,5,55,25
12,2,7,2022,10,15,45,30
12,2,8,2022,5,5,30,60
12,2,9,2022,20,5,40,35
12,2,10,2022,5,5,55,35
12,3,1,2022,15,10,45,30
12,3,2,2022,10,10,25,55
12,3,3,2022,10,15,35,40
12,3,4,2022,15,10,25,50
12,3,5,2022,10,5,30,55
12,3,6,2022,10,10,30,50
12,3,7,2022,15,5,55,25
12,3,8,2022,5,15,30,50
12,3,9,2022,5,10,20,65
12,3,10,2022,5,10,40,45
12,4,1,2022,10,10,35,45
12,4,2,2022,15,5,45,35
12,4,3,2022,10,5,60,25
12,4,4,2022,10,5,60,25
12,4,5,2022,10,10,60,20
12,4,6,2022,10,10,35,45
12,4,7,2022,10,5,50,35
12,4,8,2022,15,10,50,25
12,4,9,2022,15,10,35,40
12,4,10,2022,5,15,40,40
13,1,1,2022,10,10,40,40
13,1,2,2022,10,5,15,70
13,1,3,2022,5,3,27,65
13,1,4,2022,5,10,45,40
13,1,5,2022,5,1,2,92
13,1,6,2022,30,5,5,60
13,1,7,2022,43,25,0,32
13,1,8,2022,43,5,0,52
13,1,9,2022,35,5,10,50
13,1,10,2022,10,10,20,60
13,2,1,2022,20,5,2,73
13,2,2,2022,15,5,35,45
13,2,3,2022,3,10,25,62
13,2,4,2022,15,20,25,40
13,2,5,2022,5,5,20,70
13,2,6,2022,5,5,15,75
13,2,7,2022,10,5,50,35
13,2,8,2022,20,10,28,42
13,2,9,2022,5,10,35,50
13,2,10,2022,10,10,15,65
13,3,1,2022,40,1,19,40
13,3,2,2022,10,5,25,60
13,3,3,2022,5,5,20,70
13,3,4,2022,5,5,63,27
13,3,5,2022,5,5,30,60
13,3,6,2022,5,5,30,60
13,3,7,2022,5,5,15,75
13,3,8,2022,3,3,20,74
13,3,9,2022,10,10,30,50
13,3,10,2022,20,15,15,50
13,4,1,2022,5,5,43,47
13,4,2,2022,5,10,40,45
13,4,3,2022,10,10,30,50
13,4,4,2022,5,3,20,72
13,4,5,2022,10,10,25,55
13,4,6,2022,10,3,52,35
13,4,7,2022,5,5,30,60
13,4,8,2022,15,5,30,50
13,4,9,2022,5,3,30,62
13,4,10,2022,5,10,35,50
14,1,1,2022,5,5,10,80
14,1,2,2022,5,5,0,90
14,1,3,2022,2,5,0,93
14,1,4,2022,20,5,0,75
14,1,5,2022,20,10,0,70
14,1,6,2022,2,15,0,83
14,1,7,2022,2,10,0,88
14,1,8,2022,2,10,0,88
14,1,9,2022,2,5,0,93
14,1,10,2022,3,10,0,87
14,2,1,2022,2,5,20,73
14,2,2,2022,10,2,43,45
14,2,3,2022,5,5,50,40
14,2,4,2022,10,5,40,45
14,2,5,2022,20,5,20,55
14,2,6,2022,10,5,10,75
14,2,7,2022,20,10,10,60
14,2,8,2022,20,5,40,35
14,2,9,2022,35,10,15,40
14,2,10,2022,20,10,0,70
14,3,1,2022,3,2,55,40
14,3,2,2022,10,5,30,55
14,3,3,2022,10,5,20,65
14,3,4,2022,15,5,3,77
14,3,5,2022,5,10,20,65
14,3,6,2022,10,10,30,50
14,3,7,2022,10,2,20,68
14,3,8,2022,30,5,0,65
14,3,9,2022,10,2,45,43
14,3,10,2022,15,10,40,35
14,4,1,2022,30,5,0,65
14,4,2,2022,25,20,0,55
14,4,3,2022,25,10,0,65
14,4,4,2022,52,15,0,33
14,4,5,2022,45,10,0,45
14,4,6,2022,30,5,0,65
14,4,7,2022,45,10,0,45
14,4,8,2022,40,5,0,55
14,4,9,2022,45,5,0,50
14,4,10,2022,30,10,0,60
15,1,1,2022,3,15,0,82
15,1,2,2022,5,10,0,85
15,1,3,2022,10,10,0,80
15,1,4,2022,15,15,0,70
15,1,5,2022,50,5,0,45
15,1,6,2022,15,20,0,65
15,1,7,2022,30,10,0,60
15,1,8,2022,10,20,0,70
15,1,9,2022,20,10,0,70
15,1,10,2022,10,10,0,80
15,2,1,2022,5,10,0,85
15,2,2,2022,50,10,0,40
15,2,3,2022,10,10,0,80
15,2,4,2022,20,5,0,75
15,2,5,2022,20,20,0,60
15,2,6,2022,35,15,0,50
15,2,7,2022,20,10,0,70
15,2,8,2022,35,10,0,55
15,2,9,2022,53,10,0,37
15,2,10,2022,20,10,0,70
15,3,1,2022,10,15,0,75
15,3,2,2022,20,5,0,75
15,3,3,2022,30,5,0,65
15,3,4,2022,35,10,0,55
15,3,5,2022,25,10,0,65
15,3,6,2022,40,10,0,50
15,3,7,2022,40,15,0,45
15,3,8,2022,15,5,0,80
15,3,9,2022,25,5,0,70
15,3,10,2022,15,10,0,75
15,4,1,2022,10,15,5,70
15,4,2,2022,30,3,5,62
15,4,3,2022,68,5,0,27
15,4,4,2022,30,10,0,60
15,4,5,2022,40,10,0,50
15,4,6,2022,53,10,0,37
15,4,7,2022,45,10,0,45
15,4,8,2022,20,5,20,55
15,4,9,2022,40,5,30,25
15,4,10,2022,48,10,0,42
16,1,1,2022,35,10,20,35
16,1,2,2022,20,15,5,60
16,1,3,2022,50,10,5,35
16,1,4,2022,20,10,10,60
16,1,5,2022,35,10,25,30
16,1,6,2022,30,5,10,55
16,1,7,2022,52,5,5,38
16,1,8,2022,45,5,15,35
16,1,9,2022,35,10,5,50
16,1,10,2022,15,5,15,65
16,2,1,2022,47,15,2,36
16,2,2,2022,40,10,0,50
16,2,3,2022,63,10,0,27
16,2,4,2022,35,15,0,50
16,2,5,2022,50,10,0,40
16,2,6,2022,50,10,10,30
16,2,7,2022,30,5,5,60
16,2,8,2022,35,10,0,55
16,2,9,2022,55,5,5,35
16,2,10,2022,50,15,5,30
16,3,1,2022,15,15,25,45
16,3,2,2022,3,5,42,50
16,3,3,2022,5,5,65,25
16,3,4,2022,5,10,25,60
16,3,5,2022,5,10,20,65
16,3,6,2022,5,10,50,35
16,3,7,2022,10,5,30,55
16,3,8,2022,10,15,50,25
16,3,9,2022,10,30,15,45
16,3,10,2022,10,15,10,65
16,4,1,2022,5,20,15,60
16,4,2,2022,5,10,45,40
16,4,3,2022,5,10,35,50
16,4,4,2022,40,5,20,35
16,4,5,2022,5,20,15,60
16,4,6,2022,57,5,30,8
16,4,7,2022,35,15,15,35
16,4,8,2022,20,15,37,28
16,4,9,2022,20,15,30,35
16,4,10,2022,15,30,15,40
17,1,1,2022,25,5,69,1
17,1,2,2022,20,25,50,5
17,1,3,2022,25,25,25,25
17,1,4,2022,55,25,20,0
17,1,5,2022,40,10,30,20
17,1,6,2022,55,5,40,0
17,1,7,2022,50,10,35,5
17,1,8,2022,35,10,35,20
17,1,9,2022,15,25,50,10
17,1,10,2022,20,15,20,45
17,2,1,2022,20,15,30,35
17,2,2,2022,20,20,60,0
17,2,3,2022,20,10,45,25
17,2,4,2022,15,15,50,20
17,2,5,2022,20,5,75,0
17,2,6,2022,20,10,60,10
17,2,7,2022,15,10,55,20
17,2,8,2022,30,5,35,30
17,2,9,2022,15,15,60,10
17,2,10,2022,20,25,50,5
17,3,1,2022,20,20,45,15
17,3,2,2022,15,55,30,0
17,3,3,2022,65,15,20,0
17,3,4,2022,55,20,15,10
17,3,5,2022,15,20,65,0
17,3,6,2022,15,20,60,5
17,3,7,2022,15,15,70,0
17,3,8,2022,20,15,65,0
17,3,9,2022,25,25,40,10
17,3,10,2022,15,30,30,25
17,4,1,2022,25,15,55,5
17,4,2,2022,35,5,50,10
17,4,3,2022,25,10,65,0
17,4,4,2022,20,10,50,20
17,4,5,2022,20,10,40,30
17,4,6,2022,30,15,55,0
17,4,7,2022,35,15,50,0
17,4,8,2022,35,10,50,5
17,4,9,2022,10,15,15,60
17,4,10,2022,20,15,40,25
